<<<<<<< HEAD
titre,prix,adresse,image_lien,categorie
Poule Brahma,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5717554_uploaded_image1_1768255739.jpg,poules-lapins-et-pigeons
Poussin dinde chair,3 500 CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714121_uploaded_image1_1768054212.jpg,poules-lapins-et-pigeons
Lapins,25 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693264_uploaded_image1_1766935865.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674944_uploaded_image1_1765881198.jpg,poules-lapins-et-pigeons
Pigeon King,60 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5669544_uploaded_image1_1765545674.jpg,poules-lapins-et-pigeons
Poulettes pré ponte de 124 jours,5 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5655142_uploaded_image2_1764832679.jpeg,poules-lapins-et-pigeons
Poussin goliath,300 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5648409_uploaded_image1_1764510412.jpg,poules-lapins-et-pigeons
Poulet Goliath,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648319_uploaded_image1_1764504900.jpg,poules-lapins-et-pigeons
Pigeon Voyageur,20 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5642510_uploaded_image1_1764173213.jpg,poules-lapins-et-pigeons
Poule Brahman,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5594420_uploaded_image1_1761683034.jpg,poules-lapins-et-pigeons
Femmel cailloute,30 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587969_uploaded_image1_1761236540.jpg,poules-lapins-et-pigeons
Poule Brahman,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5577027_uploaded_image1_1760621886.jpg,poules-lapins-et-pigeons
Lapin,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572908_uploaded_image1_1760428902.jpg,poules-lapins-et-pigeons
Pigeons mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572903_uploaded_image1_1760428699.jpg,poules-lapins-et-pigeons
Couple  Mondain,130 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5541428_uploaded_image1_1758715216.jpg,poules-lapins-et-pigeons
Pigeon,15 000 CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521622_uploaded_image1_1757666321.jpg,poules-lapins-et-pigeons
Lapin,40 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5514578_uploaded_image2_1757331557.jpeg,poules-lapins-et-pigeons
Pigeon Mondain,120 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507608_uploaded_image1_1756942600.jpg,poules-lapins-et-pigeons
Pigeon Mondain,120 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507606_uploaded_image1_1756942550.jpg,poules-lapins-et-pigeons
Pigeons,100 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5458528_uploaded_image1_1754315737.jpg,poules-lapins-et-pigeons
Cochin caillouté,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497195_uploaded_image1_1756395052.jpg,poules-lapins-et-pigeons
Couples texans pionniers,40 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497183_uploaded_image1_1756394350.jpg,poules-lapins-et-pigeons
Couple Mondain,100 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497172_uploaded_image1_1756394052.jpg,poules-lapins-et-pigeons
Couple Manteau noir,15 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497155_uploaded_image1_1756393487.jpg,poules-lapins-et-pigeons
Pigeon culbtant volga,30 000 CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5497140_uploaded_image1_1756393034.jpg,poules-lapins-et-pigeons
Pigeon Lahore Levante,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486667_uploaded_image1_1755797873.jpg,poules-lapins-et-pigeons
Pigeon Beauté Allemande,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486666_uploaded_image1_1755797791.jpg,poules-lapins-et-pigeons
Lapin,35 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465434_uploaded_image1_1754648894.jpg,poules-lapins-et-pigeons
Lapin Métis Californien,25 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5437884_uploaded_image1_1753306013.jpg,poules-lapins-et-pigeons
Brahman herminé,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5435588_uploaded_image1_1753200754.jpg,poules-lapins-et-pigeons
Poussins frisés,15 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5430818_uploaded_image1_1752929676.jpg,poules-lapins-et-pigeons
Poussins brahma blanc herminé,25 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5414572_uploaded_image1_1752060211.jpg,poules-lapins-et-pigeons
Poussins brahmas importés,10 000 CFA,"Diamalaye 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5404325_uploaded_image1_1751544553.jpg,poules-lapins-et-pigeons
Poussins frisés,15 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402124_uploaded_image1_1751450050.jpg,poules-lapins-et-pigeons
Poussins frisés,15 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402120_uploaded_image1_1751449791.jpg,poules-lapins-et-pigeons
Coqs colorés,8 000 CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394586_uploaded_image1_1751020727.jpg,poules-lapins-et-pigeons
Poulet pondeuses,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5393356_uploaded_image1_1750945446.jpg,poules-lapins-et-pigeons
Lapins,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5384185_uploaded_image1_1750435313.jpg,poules-lapins-et-pigeons
Couple voyageur,15 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381347_uploaded_image1_1750286641.jpg,poules-lapins-et-pigeons
Lapin Métis californien,15 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5364052_uploaded_image1_1749295289.jpg,poules-lapins-et-pigeons
Poulet Padovani,45 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_5353407_uploaded_image1_1748690625.jpg,poules-lapins-et-pigeons
Poussins Brahma,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352324_uploaded_image1_1748613214.jpg,poules-lapins-et-pigeons
Lapins Métis Californien,10 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5350705_uploaded_image1_1748514803.jpg,poules-lapins-et-pigeons
Poulet,50 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5344600_uploaded_image1_1748179147.jpg,poules-lapins-et-pigeons
couple mondain adulte 2024,200 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5337087_uploaded_image1_1747753115.jpg,poules-lapins-et-pigeons
Couple Braman Hermine,90 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329879_uploaded_image1_1747329681.jpg,poules-lapins-et-pigeons
Couple Braman Hermine,90 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329869_uploaded_image1_1747329370.jpg,poules-lapins-et-pigeons
Dindon,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323572_uploaded_image1_1747046013.jpg,poules-lapins-et-pigeons
Pigeon voyageur,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323552_uploaded_image1_1747045029.jpg,poules-lapins-et-pigeons
Pigeon King Indigo,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321991_uploaded_image1_1746917494.jpg,poules-lapins-et-pigeons
Pigeon,30 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5290537_uploaded_image1_1745182886.jpg,poules-lapins-et-pigeons
Poule,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5280953_uploaded_image1_1744629489.jpg,poules-lapins-et-pigeons
Lapin geant,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5276799_uploaded_image1_1744362952.jpg,poules-lapins-et-pigeons
Barman,12 500 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5276065_uploaded_image1_1744311662.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274182_uploaded_image1_1744216748.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274177_uploaded_image1_1744216637.jpg,poules-lapins-et-pigeons
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5274172_uploaded_image1_1744216429.jpg,poules-lapins-et-pigeons
Brahma columbia,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5272290_uploaded_image1_1744128456.jpg,poules-lapins-et-pigeons
Pigeons de race,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5258333_uploaded_image1_1743424345.jpg,poules-lapins-et-pigeons
Poulet local,3 500 CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5252650_uploaded_image1_1743037834.jpg,poules-lapins-et-pigeons
Pigeon,100 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246700_uploaded_image1_1742737554.jpg,poules-lapins-et-pigeons
Pigeon Mondain,150 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5232372_uploaded_image1_1741970489.jpg,poules-lapins-et-pigeons
Lapin Métis Californien,25 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5225208_uploaded_image1_1741633076.jpg,poules-lapins-et-pigeons
Coque Hermine,50 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5202384_uploaded_image1_1740482590.jpg,poules-lapins-et-pigeons
Lapins métis californiens,10 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg,poules-lapins-et-pigeons
Lapin Californien,120 000 CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg,poules-lapins-et-pigeons
Pigeon voyageur,5 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg,poules-lapins-et-pigeons
Poussin herminé,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg,poules-lapins-et-pigeons
Pigeon Mondain,150 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg,poules-lapins-et-pigeons
Lapin,12 000 CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg,poules-lapins-et-pigeons
Lapin,12 000 CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg,poules-lapins-et-pigeons
Poussin Herminé,36 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg,poules-lapins-et-pigeons
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg,poules-lapins-et-pigeons
Couple lahore lavande,30 000 CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg,poules-lapins-et-pigeons
Pigeon Mondain,200 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg,poules-lapins-et-pigeons
Poussin brahman,25 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg,poules-lapins-et-pigeons
Mondain noir,150 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg,poules-lapins-et-pigeons
